name         ,code    ,city_area_code
Средец       ,68134-01,1
Красно село  ,68134-02,2
Възраждане   ,68134-03,3
Оборище      ,68134-04,4
Сердика      ,68134-05,5
Подуяне      ,68134-06,6
Слатина      ,68134-07,7
Изгрев       ,68134-08,8
Лозенец      ,68134-09,9
Триадица     ,68134-10,10
Красна поляна,68134-11,11
Илинден      ,68134-12,12
Надежда      ,68134-13,13
Искър        ,68134-14,14
Младост      ,68134-15,15
Студентски   ,68134-16,16
Витоша       ,68134-17,17
Овча купел   ,68134-18,18
Люлин        ,68134-19,19
Връбница     ,68134-20,20
Нови Искър   ,68134-21,21
Кремиковци   ,68134-22,22
Панчарево    ,68134-23,23
Банкя        ,68134-24,24
